Product,Category,Qty,Price,Total Price,Purchased at,Store,Source,Purchase Date
Кфс,Snack,1,89,89,"September 10, 2022 10:00 PM (GMT+3)",Кфс,Tinkoff,"September 11, 2022 2:00 AM (GMT+7)"
Яблоки,Fruit,1.3,88.29,114.777,"September 11, 2022 2:28 PM (GMT+3)",Лента,Tinkoff,"September 11, 2022 6:28 PM (GMT+7)"
Бананы,Fruit,0.8,43.89,35.112,"September 11, 2022 2:28 PM (GMT+3)",Лента,Tinkoff,"September 11, 2022 6:28 PM (GMT+7)"
SUBWAY,Snack,1,425,425,"September 11, 2022 5:00 PM (GMT+3)",Subway,Tinkoff,"September 11, 2022 9:00 PM (GMT+7)"
Стирка и сушка,Others,1,180,180,"September 12, 2022 11:00 AM (GMT+3)",ИТМО,Tinkoff,"September 12, 2022 3:00 PM (GMT+7)"
Распечатать,Others,1,8,8,"September 12, 2022 8:00 PM (GMT+3)",Others,Tinkoff,"September 13, 2022 12:00 AM (GMT+7)"
Маска,Others,1,82,82,"September 14, 2022 1:22 PM",Ozon,Ozon Карта,
Whoosh,Transport,1,35,35,"September 16, 2022 12:00 AM (GMT+3)",Whoosh,Tinkoff,"September 16, 2022 4:00 AM (GMT+7)"
Батон,Optionals,2,14.48,28.96,"September 16, 2022 3:00 PM (GMT+3)",Дикси,Tinkoff,"September 16, 2022 7:00 PM (GMT+7)"
Автобус,Transport,2,44,88,"September 18, 2022 4:00 PM (GMT+3)",Авто,БСПБ МИР,"September 18, 2022 8:00 PM (GMT+7)"
Поезд,Transport,2,62,124,"September 18, 2022 5:00 PM (GMT+3)",Авто,Tinkoff,"September 18, 2022 9:00 PM (GMT+7)"
Блинчики 365,Snack,1,103.99,103.99,"September 20, 2022 8:53 PM (GMT+3)",Лента,Tinkoff,"September 21, 2022 12:53 AM (GMT+7)"
Капуста,Vegetables,0.73,102.99,75.1827,"September 20, 2022 8:53 PM (GMT+3)",Лента,,"September 21, 2022 12:53 AM (GMT+7)"
Рис 365,Primary,1,58.69,58.69,"September 20, 2022 8:53 PM (GMT+3)",Лента,Tinkoff,"September 21, 2022 12:53 AM (GMT+7)"
Батон 365,Optionals,2,14.39,28.78,"September 20, 2022 8:53 PM (GMT+3)",Лента,Tinkoff,"September 21, 2022 12:53 AM (GMT+7)"
Бананы,Fruit,1.09,43.99,47.9491,"September 20, 2022 8:54 PM (GMT+3)",Лента,Tinkoff,"September 21, 2022 12:54 AM (GMT+7)"
Морковь,Vegetables,0.918,15.69,14.40342,"September 20, 2022 8:54 PM (GMT+3)",Лента,Tinkoff,"September 21, 2022 12:54 AM (GMT+7)"
Спагетти 365,Optionals,1,22.99,22.99,"September 20, 2022 8:54 PM (GMT+3)",Лента,Tinkoff,"September 21, 2022 12:54 AM (GMT+7)"
Шаверма,Snack,1,160,160,"September 20, 2022 8:55 PM (GMT+3)",Шаверма от шера,Tinkoff,"September 21, 2022 12:55 AM (GMT+7)"
Вода 5Л,Optionals,1,59.9,59.9,"September 22, 2022 8:15 PM (GMT+3)",Дикси,Tinkoff,"September 23, 2022 12:15 AM (GMT+7)"
Садака,Charity,1,1000,1000,"September 23, 2022 7:26 PM",Инсан,Tinkoff,
Whoosh,Transport,1,63,63,"September 23, 2022 7:27 PM",Whoosh,Tinkoff,
Чеснок,Vegetables,0.052,154.99,8.05948,"September 23, 2022 8:17 PM",Лента,Tinkoff,
Бананы,Fruit,0.854,43.99,37.56746,"September 23, 2022 8:17 PM",Лента,Tinkoff,
Спагетти 365,Optionals,1,19.89,19.89,"September 23, 2022 8:18 PM",Лента,Tinkoff,
Красный лук,Vegetables,0.06,61.99,3.7194,"September 23, 2022 8:18 PM",Лента,Tinkoff,
Пакет Лента,Others,1,6.99,6.99,"September 23, 2022 8:19 PM",Лента,Tinkoff,
Наггетсы Сырные,Optionals,1,119.99,119.99,"September 23, 2022 8:19 PM",Лента,Tinkoff,
Lao Gan Ma Crispy,Seasoning,1,377,377,"September 24, 2022 5:00 PM (GMT+3)",Ozon,Ozon Карта,"September 24, 2022 9:00 PM (GMT+7)"
Арахисовая Паста,Optionals,1,191,191,"September 25, 2022 4:01 PM",Ozon,Ozon Карта,
Батон,Optionals,2,15,30,"September 26, 2022 5:00 PM (GMT+3)",Дикси,Tinkoff,"September 26, 2022 9:00 PM (GMT+7)"
Авто Метро,Transport,2,44,88,"September 27, 2022 3:00 PM (GMT+3)",Авто,Tinkoff,"September 27, 2022 7:00 PM (GMT+7)"
Батон,Optionals,2,15,30,"September 28, 2022 4:00 PM (GMT+3)",Дикси,Tinkoff,"September 28, 2022 8:00 PM (GMT+7)"
Whoosh,Transport,1,7,7,"September 30, 2022 12:00 PM (GMT+3)",Whoosh,Tinkoff,"September 30, 2022 4:00 PM (GMT+7)"
Садака,Charity,1,1000,1000,"September 30, 2022 1:00 PM (GMT+3)",Инсан,Tinkoff,"September 30, 2022 5:00 PM (GMT+7)"
Whoosh,Transport,1,28,28,"September 30, 2022 3:00 PM (GMT+3)",Whoosh,Tinkoff,"September 30, 2022 7:00 PM (GMT+7)"
Шаверма,Snack,1,170,170,"September 30, 2022 3:30 PM (GMT+3)",Шаверма от шера,Tinkoff,"September 30, 2022 7:30 PM (GMT+7)"
Метро,Transport,2,44,88,"October 1, 2022 4:00 PM (GMT+3)",Авто,Tinkoff,"October 1, 2022 8:00 PM (GMT+7)"
Автобус,Transport,2,60,120,"October 1, 2022 8:00 PM (GMT+3)",Авто,Tinkoff,"October 2, 2022 12:00 AM (GMT+7)"
Садака,Charity,1,250,250,"October 1, 2022 11:00 PM (GMT+3)",Others,Tinkoff,"October 2, 2022 3:00 AM (GMT+7)"
Метро,Transport,1,44,44,"October 2, 2022 4:35 PM",Авто,Tinkoff,
Батон,Optionals,1,15,15,"October 2, 2022 4:36 PM",Дикси,Tinkoff,
Екатерин Парк,Fun,2,90,180,"October 2, 2022 4:00 PM (GMT+3)",Others,Tinkoff,"October 2, 2022 8:00 PM (GMT+7)"
Поезд,Transport,2,25,50,"October 3, 2022 7:00 PM (GMT+3)",Авто,Tinkoff,"October 3, 2022 11:00 PM (GMT+7)"
Поезд,Transport,1,43,43,"October 3, 2022 7:00 PM (GMT+3)",Авто,Tinkoff,"October 3, 2022 11:00 PM (GMT+7)"
Метро,Transport,1,44,44,"October 3, 2022 9:00 PM (GMT+3)",Авто,Tinkoff,"October 4, 2022 1:00 AM (GMT+7)"
Арахисовая Паста,Optionals,1,211,211,"October 3, 2022 11:00 PM (GMT+3)",Ozon,Ozon Карта,"October 4, 2022 3:00 AM (GMT+7)"
Батон,Optionals,3,15,45,"October 4, 2022 11:06 PM",Дикси,Tinkoff,
Спагетти 365,Optionals,3,20,60,"October 6, 2022 2:08 AM",Лента,Tinkoff,
Рис 365,Primary,2,60,120,"October 6, 2022 2:09 AM",Лента,Tinkoff,
Перец Чёрный,Seasoning,2,7,14,"October 6, 2022 2:10 AM",Лента,Tinkoff,
Мыло для посуды,Kitchen Stuff,1,16,16,"October 6, 2022 2:10 AM",Лента,Tinkoff,
Блинчики,Snack,1,90,90,"October 6, 2022 2:11 AM",Лента,Tinkoff,
Зубная паста,Bathing Stuff,1,35,35,"October 6, 2022 2:12 AM",Лента,Tinkoff,
Каша 365,Optionals,1,16,16,"October 6, 2022 2:14 AM",Лента,Tinkoff,
Садака,Charity,1,1000,1000,"October 7, 2022 1:00 PM (GMT+3)",Инсан,Tinkoff,"October 7, 2022 5:00 PM (GMT+7)"
Yota,Connectivity,1,560,560,"October 7, 2022 2:00 PM (GMT+3)",Yota,Tinkoff,"October 7, 2022 6:00 PM (GMT+7)"
Метро,Transport,2,44,88,"October 7, 2022 8:00 PM (GMT+3)",Авто,Tinkoff,"October 8, 2022 12:00 AM (GMT+7)"
Шаварма,Snack,1,170,170,"October 7, 2022 8:40 PM (GMT+3)",Шаверма от шера,Tinkoff,"October 8, 2022 12:40 AM (GMT+7)"
Батон,Optionals,3,15,45,"October 9, 2022 11:00 AM (GMT+3)",Дикси,Tinkoff,"October 9, 2022 3:00 PM (GMT+7)"
Метро,Transport,2,44,88,"October 10, 2022 12:33 AM",Авто,Tinkoff,
Общежитие,Dormitory,1,2043.59,2043.59,"October 10, 2022 12:36 AM",ИТМО,БСПБ МИР,
Автобус,Transport,2,60,120,"October 11, 2022 2:21 AM",Авто,Tinkoff,
Метро,Transport,2,44,88,"October 11, 2022 2:21 AM",Авто,Tinkoff,
Деодорант,Bathing Stuff,1,170,170,"October 12, 2022 12:37 PM (GMT+3)",Others,Tinkoff,"October 12, 2022 4:37 PM (GMT+7)"
Метро,Transport,2,44,88,"October 12, 2022 4:20 PM (GMT+3)",Авто,Tinkoff,"October 12, 2022 8:20 PM (GMT+7)"
Батон,Optionals,3,15,45,"October 12, 2022 8:45 PM (GMT+3)",Дикси,Tinkoff,"October 13, 2022 12:45 AM (GMT+7)"
Бумага,Bathing Stuff,1,7,7,"October 14, 2022 2:40 AM",Лента,Tinkoff,
Мука,Optionals,1,50,50,"October 14, 2022 2:40 AM",Лента,Tinkoff,
Паста 365,Optionals,1,127,127,"October 14, 2022 2:41 AM",Лента,Tinkoff,
Бананы,Fruit,1,60,60,"October 14, 2022 2:42 AM",Лента,Tinkoff,
Блинчики,Snack,1,100,100,"October 14, 2022 2:42 AM",Лента,Tinkoff,
Садака,Charity,1,1000,1000,"October 14, 2022 1:00 PM (GMT+3)",Инсан,Tinkoff,"October 14, 2022 5:00 PM (GMT+7)"
Метро,Transport,4,44,176,"October 14, 2022 8:00 PM (GMT+3)",,Tinkoff,"October 15, 2022 12:00 AM (GMT+7)"
Ramen Shifu,Snack,0.5,640,320,"October 14, 2022 8:40 PM (GMT+3)",Ramen Shifu,Tinkoff,"October 15, 2022 12:40 AM (GMT+7)"
Вода,Optionals,1,35,35,"October 14, 2022 9:00 PM (GMT+3)",Магнит,Tinkoff,"October 15, 2022 1:00 AM (GMT+7)"
Контик,Snack,2,30,60,"October 15, 2022 10:00 PM (GMT+3)",Дикси,Tinkoff,"October 16, 2022 2:00 AM (GMT+7)"
Вода 5Л,Optionals,1,60,60,"October 15, 2022 10:00 PM (GMT+3)",Дикси,Tinkoff,"October 16, 2022 2:00 AM (GMT+7)"
Плов,Optionals,1,300,300,"October 16, 2022 9:00 PM (GMT+3)",Others,Tinkoff,"October 17, 2022 1:00 AM (GMT+7)"
Метро,Transport,3,44,132,"October 16, 2022 9:00 PM (GMT+3)",Авто,Tinkoff,"October 17, 2022 1:00 AM (GMT+7)"
Автобус,Transport,2,60,120,"October 17, 2022 12:00 AM (GMT+3)",Авто,Tinkoff,"October 17, 2022 4:00 AM (GMT+7)"
Метро,Transport,2,44,88,"October 17, 2022 10:00 AM (GMT+3)",Авто,Tinkoff,"October 17, 2022 2:00 PM (GMT+7)"
Кфс,Snack,1,471,471,"October 19, 2022 11:59 PM",Кфс,Tinkoff,
Садака,Charity,1,1000,1000,"October 21, 2022 7:25 PM",Инсан,Tinkoff,
Метро,Transport,1,44,44,"October 21, 2022 7:26 PM",Авто,Tinkoff,
Whoosh,Transport,1,21,21,"October 21, 2022 7:26 PM",Whoosh,Tinkoff,
Бананы,Fruit,1.552,65.99,102.41648,"January 3, 2023",Дикси,Tinkoff,"January 3, 2023"
Виноград,Vegetables,0.458,99.99,45.79542,"January 3, 2023",Дикси,Tinkoff,"January 3, 2023"
Колбаса,Meat,1,119.9,119.9,"January 3, 2023",Дикси,Tinkoff,"January 3, 2023"
Батон,Optionals,1,14.48,14.48,"January 3, 2023",Дикси,Tinkoff,"January 3, 2023"
Наггетсы,Snack,1,89.99,89.99,"January 3, 2023",Дикси,Tinkoff,"January 3, 2023"
Пакет,Optionals,1,7.49,7.49,"January 3, 2023",Дикси,Tinkoff,"January 3, 2023"
Вермишель,Optionals,1,7.69,7.69,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Морковь,Vegetables,0.374,19.19,7.17706,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Чеснок,Vegetables,0.044,205.79,9.05476,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Яблоки,Fruit,0.994,56.99,56.64806,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Картофель,Primary,1.514,21.99,33.29286,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Майонез,Optionals,1,29.99,29.99,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Макароны 365,Primary,1,16.89,16.89,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Рис 365,Primary,1,55.89,55.89,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Маргарин,Optionals,30.99,30.99,960.3801,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Порошок 365,Others,1,25.89,25.89,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Соломка,Snack,1,69.99,69.99,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Каша,Primary,2,13.49,26.98,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Гель для душа,Bathing Stuff,1,96.57,96.57,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Бумага 365,Others,1,6.39,6.39,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Общежитие,Dormitory,1,2045,2045,"January 5, 2023",ИТМО,БСПБ МИР,"January 5, 2023"
Печенье Первым Делом,Snack,1,50,50,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Тушенка говядиная,Meat,1,31,31,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Сыр,Optionals,0.5,120,60,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Килька сардинес,Meat,1,33,33,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Груша китаийская,Fruit,0.74,149.9,110.926,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Yota,Connectivity,1,560,560,"January 6, 2023",Yota,Tinkoff,"January 6, 2023"
Батон,Optionals,2,15,30,"January 13, 2023 1:38 AM",Дикси,Tinkoff,
Мыло посуды,Kitchen Stuff,1,16,16,"January 13, 2023 1:38 AM",Дикси,Tinkoff,
Яйцо,Eggs,1,51,51,"January 13, 2023 1:39 AM",Дикси,Tinkoff,
Пакет для мусора,Others,1,30,30,"January 13, 2023 1:39 AM",Дикси,Tinkoff,
Тушенка,Meat,2,31,62,"January 13, 2023 1:40 AM",Дикси,Tinkoff,
Килька,Meat,2,33,66,"January 13, 2023 1:40 AM",Дикси,Tinkoff,
Геркулес,Primary,1,16,16,"January 13, 2023 1:41 AM",Дикси,Tinkoff,
Масло,Oil,1,73,73,"January 13, 2023 1:41 AM",Дикси,Tinkoff,
Печенье,Snack,1,50,50,"January 13, 2023 1:41 AM",Дикси,Tinkoff,
Колбаса,Meat,1,120,120,"January 13, 2023 1:42 AM",Дикси,Tinkoff,
Садака,Charity,1,1000,1000,"January 13, 2023 8:36 PM",Инсан,Tinkoff,